organization,domain,visible_url,primary_category,secondary_categories,confidence,source_file,source_branch,notes
International Vaccine Institute,ivi.int,https://www.ivi.int,global_health_ngo,Global Health; Vaccine research and delivery in developing countries,high,global_health_ngo_universe.csv,cursor/global-health-ngo-discovery-e8a1,International vaccine research organization
InterSystems,intersystems.com,https://www.intersystems.com,clinical_informatics_healthit,Interoperability; HealthShare unified care record and healthcare interoperability platform,high,clinical_informatics_healthit_universe.csv,cursor/clinical-informatics-healthit-universe-78ec,Major healthcare data management and interoperability vendor
IntraHealth International,intrahealth.org,https://www.intrahealth.org,global_health_ngo,Health Systems Strengthening; Health workforce development and health systems governance,high,global_health_ngo_universe.csv,cursor/global-health-ngo-discovery-e8a1,Health systems strengthening specialist NGO
IntuitionLabs,intuitionlabs.ai,https://intuitionlabs.ai,rwd_registry,Health Data Network; EMR/Claims Integration,high,real_world_data_registry_universe.csv,cursor/rwd-registry-universe-b89c,RWE platform architecture integrating EMR and claims across OMOP CDM networks
Intuitive Surgical,intuitive.com,https://www.intuitive.com/careers,Pharmaceutical Companies,Pharmaceutical Companies; Unknown,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Device; failure_reason=no_matching_roles
Invitae,invitae.com,https://www.invitae.com/careers,Biotech Companies,Biotech Companies; Greenhouse,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Genetic testing; failure_reason=fetch_failed:HTTP Error 308: Permanent Redirect
IO Solutions,iosolutions.com,https://www.iosolutions.com,environmental_occupational_health,"Consulting Firm; Occupational Health, Workplace Safety",medium,environmental_occupational_health_universe.csv,cursor/environmental-occupational-health-discovery-886b,Consulting firm for public safety agencies specializing in personnel selection and testing solutions
IOM,iom.int,https://www.iom.int,global_health_ngo,Humanitarian Health; Migration health and humanitarian response,high,global_health_ngo_universe.csv,cursor/global-health-ngo-discovery-e8a1,UN International Organization for Migration
Ionis Pharmaceuticals,ionis.com,https://ionis.com/careers,Biotech Companies,Biotech Companies; UKG; UltiPro,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),RNA therapeutics; failure_reason=no_matching_roles
IPG Health,ipghealth.com,https://www.ipghealth.com/careers,Medical Communications,Custom; Medical Communications,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Med comms; Medical/scientific communications; R20 new; failure_reason=fetch_failed:HTTP Error 403: Forbidden
IPPF,ippf.org,https://www.ippf.org,global_health_ngo,International NGO; Sexual and reproductive health and rights,high,global_health_ngo_universe.csv,cursor/global-health-ngo-discovery-e8a1,International Planned Parenthood Federation
Ipsen,ipsen.com,https://www.ipsen.com,pharma_biotech,Global biopharmaceutical company focused on innovation and specialty care to improve lives of patients; Ipsen - improving patient health outcomes; Pharmaceutical; Pharmaceutical Companies,high,career_universe_org_harvest.csv; employer_database_master.csv; pharma_biotech_universe.csv,cursor/org-universe-harvest-faa3; cursor/pharma-biotech-universe-bfec; main (phase3c_sync_minimum.zip),"Biopharmaceutical company; Focus on oncology, neuroscience, and rare diseases; Mid-size pharmaceutical company; Pharmaceutical company serving biotech and pharma industries; Specialty pharma"
Ipsos Healthcare,ipsos.com,https://www.ipsos.com/en/careers,HEOR / RWE / Consulting,Consulting; HEOR; Oracle Recruiting; RWE,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),HEOR research; R19 new; failure_reason=no_matching_roles
IPUMS International,ipums.org,https://international.ipums.org,global_health_ngo,International Research; International census and demographic health data,high,global_health_ngo_universe.csv,cursor/global-health-ngo-discovery-e8a1,Population and health demographic data repository
IQVIA,iqvia.com,https://www.iqvia.com,clinical_informatics_healthit,CRO; Clinical Data Platform; Clinical Research Careers at IQVIA; Consulting; Empowers life sciences organizations to accelerate innovation and improve patient outcomes; HEOR; Healthcare data technology analytics and clinical research platforms; IQVIA: Transforming Life Sciences with Data; Medical Communications; Other; RWE; Real World Evidence; Real world evidence health economics and clinical research; Real-World Data; Technology; Workday (embedded; blocked API),high,career_google_harvest.csv; career_universe_org_harvest.csv; clinical_informatics_healthit_universe.csv; cro_heor_rwe_universe.csv; employer_database_master.csv; pharma_biotech_universe.csv; phase3c_browser_queue_20260620.json; real_world_data_registry_universe.csv,cursor/clinical-informatics-healthit-universe-78ec; cursor/cro-heor-rwe-discovery-307f; cursor/google-career-harvest-faa3; cursor/org-universe-harvest-faa3; cursor/pharma-biotech-universe-bfec; cursor/rwd-registry-universe-b89c; main (phase3c_sync_minimum.zip),"Claims data analytics; Data and technology for life sciences; Major clinical research organization offering career opportunities in epidemiology biostatistics and RWE; Major employer for epidemiologists, biostatisticians, HEOR, RWE; Major healthcare data and analytics company; Major player in RWE and HEOR space; Medical writing; Medical/scientific communications; Pharma clinical research company using data and technology for healthcare; RWE solutions supporting health economics and outcomes research; RWE/epi; World's largest healthcare data and analytics company; duplicate suppress; failure_reason=no_matching_roles; not traditional pharma/biotech"
ISHAM,isham.org,https://www.isham.org,global_health_ngo,Infectious Disease; Fungal disease research and medical mycology,high,global_health_ngo_universe.csv,cursor/global-health-ngo-discovery-e8a1,International Society for Human and Animal Mycology
ISTM,istm.org,https://www.istm.org,global_health_ngo,Other; Travel medicine professional society,high,global_health_ngo_universe.csv,cursor/global-health-ngo-discovery-e8a1,International Society of Travel Medicine
ITCILO,itcilo.org,https://www.itcilo.org,global_health_ngo,Other; ILO training center including health workforce programs,medium,global_health_ngo_universe.csv,cursor/global-health-ngo-discovery-e8a1,International Training Centre of the ILO
Ivy AI Solutions,ivyai.hk,https://www.ivyai.hk,ai_clinical_datascience,Healthcare AI; ISO-Certified Healthcare AI Company - CBC Multi-Cancer Screen surfaces,high,ai_clinical_datascience_universe.csv,cursor/ai-clinical-datascience-universe-b799,Company homepage; Hong Kong-based; page 8
Jackson Laboratory,jax.org,https://jobs.jax.org/,Academic Medical Centers,Academic Medical Centers; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Genomics/mouse models; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Jackson State University School of Public Health,jsums.edu,https://www.jsums.edu/health,academic,School of Public Health,high,academic_employer_universe.csv,cursor/academic-employer-discovery-0c53,HBCU epidemiology and biostatistics
Jacobs Federal Health,jacobs.com,https://careers.jacobs.com/,Federal Contractors,Federal Contractors; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Federal health research/contractor; failure_reason=no_content
Jai Medical Systems,jaimedicalsystems.com,https://www.jaimedicalsystems.com,payer_vbc,Managed Care; Health insurance agency and Medicaid guidance,medium,payer_vbc_universe.csv,cursor/payer-vbc-discovery-ed6b,Local Maryland managed care organization
James Bell Associates,jbassoc.com,https://www.jbassoc.com,survey_policy_research,Program Evaluation; Children and youth behavioral health program evaluation,high,survey_policy_research_universe.csv,cursor/survey-policy-research-universe-e49c,Applied research and evaluation consulting firm
Japan Policy Research Institute,jpri.org,https://jpri.org,survey_policy_research,Policy Research; Japan policy and international relations research,high,survey_policy_research_universe.csv,cursor/survey-policy-research-universe-e49c,Independent Japan policy research institute
Jazz Pharmaceuticals,jazzpharma.com,https://careers.jazzpharma.com/,Pharmaceutical Companies,Pharmaceutical Companies; Workday; Workday (embedded; blocked API),medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Specialty pharma; Specialty pharma HEOR; failure_reason=no_matching_roles
JB Ashtin,jbashtin.com,https://www.jbashtin.com/careers,Medical Communications,Custom; Medical Communications,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Medical communications; failure_reason=fetch_failed:HTTP Error 403: Forbidden
JBS International Health,jbsinternational.com,https://www.jbsinternational.com/careers,Federal Contractors,Custom; Federal Contractors; Research Organizations,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Federal health research/contractor; International health; failure_reason=no_matching_roles
Jefferson Health,jeffersonhealth.org,https://jobs.jeffersonhealth.org/,Hospital Systems,Hospital Systems; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Philadelphia AMC; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
JetBase,jetbase.io,https://www.jetbase.io,clinical_informatics_healthit,Healthcare Software; Health information exchange software for faster clinical data processing,high,clinical_informatics_healthit_universe.csv,cursor/clinical-informatics-healthit-universe-78ec,HIE software platform
John A. Burns School of Medicine,hawaii.edu,https://jabsom.hawaii.edu,academic,Academic Medical Centers; Medical School; Schools of Public Health; Workday,high,academic_employer_universe.csv; employer_database_master.csv; phase3c_browser_queue_20260620.json,cursor/academic-employer-discovery-0c53; main (phase3c_sync_minimum.zip),SPH; SPH/Medicine; University of Hawaii medical school; adjunct/epi potential; failure_reason=fetch_failed:HTTP Error 404: Not Found
John Snow Labs,johnsnowlabs.com,https://www.johnsnowlabs.com,ai_clinical_datascience,Healthcare AI; Healthcare AI company for rapid adoption of AI in healthcare and life sciences with high-compliance solutions,high,ai_clinical_datascience_universe.csv,cursor/ai-clinical-datascience-universe-b799,Company homepage; page 1
Johns Hopkins Bloomberg School of Public Health,jhu.edu,https://publichealth.jhu.edu,injury_safety_justice,Academic Medical Centers; Careers - Johns Hopkins Bloomberg School of Public Health; Johns Hopkins Bloomberg School of Public Health; School of Public Health; University; Unknown; gun violence prevention research; safety outcomes research; university research center,high,academic_employer_universe.csv; career_google_harvest.csv; career_universe_org_harvest.csv; employer_database_master.csv; injury_safety_justice_universe.csv; phase3c_browser_queue_20260620.json,cursor/academic-employer-discovery-0c53; cursor/google-career-harvest-faa3; cursor/injury-safety-justice-universe-a058; cursor/org-universe-harvest-faa3; main (phase3c_sync_minimum.zip),Academic medical center; Also seen under domain publichealth.jhu.edu; Epi center; Fetch: HTTP Error 403: Forbidden; Health equity research; Johns Hopkins Bloomberg School of Public Health center for gun violence prevention and policy research; Premier school of public health globally; Public health; R19 new; R20 new; Strongest epidemiology and biostatistics programs; Top-ranked public health school; Top-ranked public health school career opportunities; Workday; World's leading school of public health with outbreak response center; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Johns Hopkins Medicine,hopkinsmedicine.org,https://www.hopkinsmedicine.org,hospital_system,Academic Hospital; Academic Medical Center,high,academic_employer_universe.csv; hospital_system_universe.csv,cursor/academic-employer-discovery-0c53; cursor/hospital-discovery-agent-b-d6aa,Johns Hopkins academic medicine; Major academic medical center including Johns Hopkins Children's Center
Johnson & Johnson,jnj.com,https://www.jnj.com,pharma_biotech,Creating new and groundbreaking medicines to change the future of health; Pharmaceutical; Pharmaceutical Companies; Unknown,high,employer_database_master.csv; pharma_biotech_universe.csv; phase3c_browser_queue_20260620.json,cursor/pharma-biotech-universe-bfec; main (phase3c_sync_minimum.zip),Fetch: HTTP Error 403: Forbidden; HEOR/RWE; Major healthcare and pharmaceutical company; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Joint Commission International,jointcommissioninternational.org,https://www.jointcommissioninternational.org,global_health_ngo,Health Systems Strengthening; International healthcare accreditation and quality standards,medium,global_health_ngo_universe.csv,cursor/global-health-ngo-discovery-e8a1,Healthcare quality and accreditation standards body
Justice Policy Institute,justicepolicy.org,https://www.justicepolicy.org,injury_safety_justice,justice policy institute; criminal justice research; justice policy,medium,injury_safety_justice_universe.csv,cursor/injury-safety-justice-universe-a058,Nonprofit criminal justice policy research organization; Google results also surfaced grantee and social profiles; LinkedIn indicated operations ceased August 2025
K Health,khealth.com,https://khealth.com/careers,Digital Health,Digital Health,medium,employer_database_master.csv,main (phase3c_sync_minimum.zip),AI primary care
Kaia Health,kaiahealth.com,https://kaiahealth.com/careers/,Digital Health,Digital Health; Greenhouse,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Digital MSK; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Kaigo Health,kaigohealth.com,https://kaigohealth.com,ai_clinical_datascience,Healthcare AI; AI Care Workforce automating follow-ups check-ins and monitoring for home care,high,ai_clinical_datascience_universe.csv,cursor/ai-clinical-datascience-universe-b799,Company homepage; page 13
Kaiser Family Foundation,kff.org,https://www.kff.org/about-kaiser/careers/,Research Organizations,Research Organizations; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Health policy research; failure_reason=fetch_failed:HTTP Error 404: Not Found
Kaiser Permanente,kaiserpermanente.org,https://about.kaiserpermanente.org,consulting_federal,Healthcare Consulting; Public policy perspectives on affordable health care and health system improvement,medium,consulting_federal_universe.csv,cursor/consulting-federal-universe-0daa,Large healthcare organization with policy work not primarily consulting
Kaiser Permanente Division of Research,kp.taleo.net,https://kp.taleo.net/careersection/10000/jobsearch.ftl,Academic Medical Centers,Academic Medical Centers; Hospital Systems; Taleo,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Integrated payer-provider; Taleo; failure_reason=no_matching_roles
Kaiser Permanente Washington Research,kpwashingtonresearch.org,https://kpwashingtonresearch.org/index.php/login,Academic Medical Centers,Academic Medical Centers; Federal Contractors; Unknown,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Applied research; KP research; R19 new; failure_reason=no_matching_roles
Kansas Department of Health,admin.ks.gov,https://admin.ks.gov/careers,Government / Public Health,Government; Public Health; USAJobs,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),State public health; failure_reason=fetch_failed:HTTP Error 404: Not Found
Kantar Health,kantar.com,https://www.kantar.com/careers,HEOR / RWE / Consulting,Consulting; HEOR; RWE; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),HEOR/real world; R19 new; failure_reason=no_matching_roles
Karias Health,kariashealth.com,https://kariashealth.com,ai_clinical_datascience,Healthcare AI; Faith AI Care Companion - listens during clinical visits summarizes and guides next steps,high,ai_clinical_datascience_universe.csv,cursor/ai-clinical-datascience-universe-b799,Company homepage; page 17
Keidanren Policy Research Institute,keidanren.or.jp,https://www.keidanren.or.jp,survey_policy_research,Policy Research; Public policy think-tank integrating business and academia,high,survey_policy_research_universe.csv,cursor/survey-policy-research-universe-e49c,Japan-based policy research institute
Kentucky Cabinet for Health and Family Services,kentucky.gov,https://www.kentucky.gov/careers/Pages/default.aspx,Government / Public Health,Custom; Government; Public Health,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),State public health; failure_reason=fetch_failed:HTTP Error 404: Not Found
Kentucky Health Information Exchange,khie.ky.gov,https://khie.ky.gov/Pages,rwd_registry,Health Information Exchange; State Health Information Exchange,high,real_world_data_registry_universe.csv,cursor/rwd-registry-universe-b89c,Kentucky statewide health information exchange
Ketchum Health,ketchum.com,https://www.ketchum.com/careers,Medical Communications,Medical Communications; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Medical/scientific communications; failure_reason=fetch_failed:HTTP Error 403: Forbidden
King County Public Health,kingcounty.gov,https://kingcounty.gov/dept/dph/jobs,google_harvest,Government; Jobs at Public Health - King County Washington,high,career_google_harvest.csv,cursor/google-career-harvest-faa3,Official King County government career page for Seattle and King County Public Health department
King's Centre for Military Health Research,kcmhr.org,https://www.kcmhr.org,behavioral_mental_health,Military health research organization / PTSD research organization; Military health research and PTSD research,medium,behavioral_mental_health_universe.csv,cursor/behavioral-mental-health-discovery-b6f4,Research center focused on military mental health; academic-affiliated but organization homepage
KMK Consulting,kmkconsultinginc.com,https://kmkconsultinginc.com,cro_heor_rwe,HEOR; RWE; HEOR-RWE health economics outcomes research RWD and RWE,high,cro_heor_rwe_universe.csv,cursor/cro-heor-rwe-discovery-307f,Data capabilities tools and experience
KNB Communications,knbcomm.com,https://www.knbcomm.com,medical_communications,Healthcare Communications; Top-tier agency for biotech life sciences and health tech specializing in credibility and storytelling - Best Healthcare Communications Firm,high,medical_communications_universe.csv,cursor/medical-communications-discovery-87dc,Company homepage and award recognition - healthcare communications firm
Koan Health,koanhealth.com,https://koanhealth.com,digital_health,Population Health; Population health analytics for ACO value-based care,high,digital_health_universe.csv,cursor/digital-health-universe-discovery-c955,ACO cost and quality performance platform
Komodo Health,komodohealth.com,https://www.komodohealth.com,cro_heor_rwe,Digital Health; Greenhouse; HEOR; HEOR data and insights research-grade RWE; RWD; RWE,high,cro_heor_rwe_universe.csv; employer_database_master.csv; phase3c_browser_queue_20260620.json,cursor/cro-heor-rwe-discovery-307f; main (phase3c_sync_minimum.zip),AI-driven evidence generation; Also seen under domain job-boards.greenhouse.io; Claims/RWD platform; Digital health/RWE; Telehealth; failure_reason=no_matching_roles
Korn Ferry,kornferry.com,https://www.kornferry.com/industries/government-public-sector,consulting_federal,Public Sector Consulting; Government and public services consultants and talent development,high,consulting_federal_universe.csv,cursor/consulting-federal-universe-0daa,Consulting firm with government services practice
KPMG Federal,kpmguscareers.com,https://www.kpmguscareers.com/,Federal Contractors,Custom; Federal Contractors,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Federal health research/contractor; HEOR consulting; R20 new; Workday; failure_reason=no_matching_roles
L&G Research and Evaluation Consulting,lgresolution.com,https://www.lgresolution.com,survey_policy_research,"Program Evaluation; Research, evaluation, grant writing, and capacity building",high,survey_policy_research_universe.csv,cursor/survey-policy-research-universe-e49c,M/WBE-certified evaluation consulting firm
L.A. Care Health Plan,lacare.org,https://lacare.org,payer_vbc,Health Insurance; Medi-Cal coverage,high,payer_vbc_universe.csv,cursor/payer-vbc-discovery-ed6b,California public health plan
Labarium Diagnostic Systems,labarium.com,https://www.labarium.com,med_device_diagnostics,Laboratory Medicine; Next-generation clinical laboratory with AI-powered diagnostics,high,med_device_diagnostics_universe.csv,cursor/med-device-diagnostics-universe-e384,AI-powered diagnostic insights across 20+ states
Labcorp,labcorp.com,https://www.labcorp.com,org_harvest,CRO; Consulting; Drug Development; Global Life Sciences; HEOR; Labcorp: Lab Diagnostics; Phenom; RWE,high,career_universe_org_harvest.csv; employer_database_master.csv; phase3c_browser_queue_20260620.json,cursor/org-universe-harvest-faa3; main (phase3c_sync_minimum.zip),CRO/RWE; Clinical laboratory and CRO division; Clinical laboratory and drug development with real world data services; HEOR/RWE/epi consulting; Real world data and central laboratory services; failure_reason=no_matching_roles
Lannett Company,lannett.com,https://www.lannett.com/careers/,Pharmaceutical Companies,Jobvite; Pharmaceutical Companies,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Generic pharma; failure_reason=no_matching_roles
LCMC Health Academic Medical Center,lcmchealth.org,https://lcmchealth.org/academic-medical-center,academic,Academic Medical Center,high,academic_employer_universe.csv,cursor/academic-employer-discovery-0c53,UMC New Orleans Louisiana
Le Bonheur Children's Hospital,lebonheur.org,https://careers.lebonheur.org/,Hospital Systems,Hospital Systems; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Hospital/cancer center; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>; population health research
Leapfrog Group,leapfroggroup.org,https://www.leapfroggroup.org/about/careers,Government / Public Health,Custom; Government; Public Health,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Hospital quality; Hospital quality measurement; R20 new; failure_reason=no_matching_roles
Legacy Health,legacyhealth.org,https://www.legacyhealth.org/careers,Hospital Systems,Hospital Systems; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Hospital/cancer center; failure_reason=no_matching_roles; population health research
Lehigh University College of Health,health.lehigh.edu,https://health.lehigh.edu,org_harvest,University; Lehigh University College of Health,medium,career_universe_org_harvest.csv,cursor/org-universe-harvest-faa3,Interdisciplinary health college; Academic institution with population health programs; Population and community health research with diverse partners
Lehigh Valley Health Network,lvhn.org,https://www.lvhn.org,hospital_system,Hospital System; Hospital Systems; Workday,high,employer_database_master.csv; hospital_system_universe.csv; phase3c_browser_queue_20260620.json,cursor/hospital-discovery-agent-b-d6aa; main (phase3c_sync_minimum.zip),Pennsylvania regional health network including Reilly Children's Hospital; Pennsylvania system; failure_reason=fetch_failed:<urlopen error [Errno 111] Connection refused>
Leica Biosystems,leicabiosystems.com,https://www.leicabiosystems.com,med_device_diagnostics,Digital Pathology; Pathology and companion diagnostic solutions for pharmaceutical companies,high,med_device_diagnostics_universe.csv,cursor/med-device-diagnostics-universe-e384,Cancer diagnostics and digital pathology
Leidos,leidos.com,https://careers.leidos.com/,Federal Contractors,Federal Contractors; Unknown,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Federal health; Federal health research/contractor; Fetch: HTTP Error 403: Forbidden; VA medical exams; Workday; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Lewin Group,lewin.com,https://lewin.com/careers/,HEOR / RWE / Consulting,Consulting; HEOR; RWE; Unknown,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Fetch: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certi; Optum/Lewin policy; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)>
Lewis & Clark Information Exchange,lacie-hie.com,https://www.lacie-hie.com,clinical_informatics_healthit,HIE; Health information exchange serving Kansas and Missouri,high,clinical_informatics_healthit_universe.csv,cursor/clinical-informatics-healthit-universe-78ec,Regional HIE in Kansas and Missouri
LifePoint Health,lifepointhealth.net,https://careers.lifepointhealth.net/,Hospital Systems,Hospital Systems; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Community hospital operator; failure_reason=fetch_failed:<urlopen error [Errno -5] No address associated with hostname>
Lifepoint Informatics,lifepnt.com,https://www.lifepnt.com,clinical_informatics_healthit,Interoperability; Laboratory outreach connectivity EMR integration and clinical data exchange,high,clinical_informatics_healthit_universe.csv,cursor/clinical-informatics-healthit-universe-78ec,Clinical data exchange and HIE integration vendor
Lightship,lightship.health,https://www.lightship.health/careers,Digital Health,Digital Health; Greenhouse (embedded),medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Clinical trials digital; Digital health/RWE; R20 new; failure_reason=no_matching_roles
Lions Clubs International,lionsclubs.org,https://www.lionsclubs.org,global_health_ngo,Other; Community service with vision and diabetes health programs,medium,global_health_ngo_universe.csv,cursor/global-health-ngo-discovery-e8a1,Service organization with health programming
LiV Medical Education Agency,livagency.com,https://www.livagency.com,medical_communications,Medical Education; Medical education agency in Montreal QC with associate medical directors and leadership team,medium,medical_communications_universe.csv,cursor/medical-communications-discovery-87dc,Multiple directory references confirm existence - medical education agency
Livewire Editorial Communications,livewirecommunications.co.uk,https://www.livewirecommunications.co.uk,medical_communications,Medical Communications; London-based international medical communications agency experts in medical writing brand strategy and scientific communication,high,medical_communications_universe.csv,cursor/medical-communications-discovery-87dc,Google snippet from company page - medical communications agency
Livongo (Teladoc),teladochealth.com,https://www.teladochealth.com/careers,Digital Health,Digital Health,medium,employer_database_master.csv,main (phase3c_sync_minimum.zip),Chronic condition data; Telehealth
LMI (Logistics Management Institute),lmi.org,https://www.lmi.org/careers,Federal Contractors,Federal Contractors; Workday; iCIMS,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Also seen under domain lmisolutions.com; Federal health analytics; Federal health research/contractor; failure_reason=no_matching_roles
Loma Linda University School of Public Health,llu.edu,https://publichealth.llu.edu,academic,Academic Medical Centers; School of Public Health; Workday,high,academic_employer_universe.csv; employer_database_master.csv; phase3c_browser_queue_20260620.json,cursor/academic-employer-discovery-0c53; main (phase3c_sync_minimum.zip),Also seen under domain home.llu.edu; CEPH-accredited Adventist university; SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
Louisiana Department of Health,ldh.la.gov,https://ldh.la.gov,environmental_occupational_health,"Government - State; Environmental Epidemiology, Toxicology",high,environmental_occupational_health_universe.csv,cursor/environmental-occupational-health-discovery-886b,Section of Environmental Epidemiology and Toxicology (SEET) collects and evaluates environmental health data
Louisiana State University School of Public Health,lsu.edu,https://lsu.edu/hrm/careers,Academic Medical Centers,Academic Medical Centers,medium,employer_database_master.csv,main (phase3c_sync_minimum.zip),SPH/Medicine; adjunct/epi potential
Loyola University Chicago Health Sciences,luc.edu,https://www.careers.luc.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Academic medical center; SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
LSU Health Sciences Center New Orleans,lsuhsc.edu,https://www.lsuhsc.edu,academic,Academic Medical Centers; Health Sciences Center; Workday,high,academic_employer_universe.csv; employer_database_master.csv; phase3c_browser_queue_20260620.json,cursor/academic-employer-discovery-0c53; main (phase3c_sync_minimum.zip),Academic medical center; Louisiana State University HSC; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)>
Lucid Group,lucidgroup.com,https://www.lucidgroup.com,medical_communications,Medical Communications; Medical Education; Mid-sized fast-growing medical education agency; Workday; Workday (embedded; blocked API),medium,employer_database_master.csv; medical_communications_universe.csv; phase3c_browser_queue_20260620.json,cursor/medical-communications-discovery-87dc; main (phase3c_sync_minimum.zip),Also seen under domain lucidmotors.com:443; Glassdoor review reference - medical education agency; Med comms agency; Medical communications; Medical/scientific communications; failure_reason=no_matching_roles
Lumanity,lumanity.com,https://lumanity.com/careers/working-at-lumanity/,HEOR / RWE / Consulting,Consulting; HEOR; HEOR Consulting; RWE,medium,employer_database_master.csv,main (phase3c_sync_minimum.zip),Formerly Cello; HEOR; HEOR consulting
Lumeris,lumeris.com,https://lumeris.com,digital_health,Population Health; Value-based care enablement and population health management,high,digital_health_universe.csv,cursor/digital-health-universe-discovery-c955,Technology-enabled services for health systems
Luminis Health,luminishealth.org,https://jobs.luminishealth.org/,Hospital Systems,Hospital Systems; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Hospital system; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Lurie Children's Hospital,luriechildrens.org,https://research.luriechildrens.org,hospital_system,Children's Hospital; Hospital Systems,high,employer_database_master.csv; hospital_system_universe.csv,cursor/hospital-discovery-agent-b-d6aa; main (phase3c_sync_minimum.zip),Hospital/cancer center; Stanley Manne Children's Research Institute with child health outcomes focus; population health research
Lyra Health,lyrahealth.com,https://careers.lyrahealth.com/,Digital Health,Custom; Digital Health,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Mental health; failure_reason=no_matching_roles
M Health,m-health.com,https://m-health.com,medical_communications,Medical Communications; Global healthcare brand marketing and medical communications agency,high,medical_communications_universe.csv,cursor/medical-communications-discovery-87dc,Company homepage - global medical communications agency
M-H Life Sciences,mhlifesciences.com,https://www.mhlifesciences.com/agency-services,medical_communications,Medical Affairs Strategy; Medical affairs agency purpose-built for biotech scales with partners from phase 2 clinical trials through commercialization,high,medical_communications_universe.csv,cursor/medical-communications-discovery-87dc,Company agency services page
